TreeID,Treatment,Seedlings,Year
1,parasitized,8,2011
2,unparasitized,0,2011
3,parasitized,153,2011
4,unparasitized,0,2011
5,parasitized,40,2011
6,unparasitized,0,2011
7,parasitized,570,2011
8,unparasitized,0,2011
9,parasitized,329,2011
10,unparasitized,0,2011
11,parasitized,385,2011
12,unparasitized,0,2011
13,parasitized,2472,2011
14,unparasitized,16,2011
15,parasitized,369,2011
16,unparasitized,0,2011
17,parasitized,441,2011
18,unparasitized,0,2011
19,parasitized,193,2011
20,unparasitized,0,2011
21,parasitized,24,2011
22,unparasitized,0,2011
23,parasitized,40,2011
24,unparasitized,0,2011
25,parasitized,96,2011
26,unparasitized,32,2011
27,parasitized,498,2011
28,unparasitized,0,2011
29,parasitized,755,2011
30,unparasitized,8,2011
31,parasitized,64,2011
32,unparasitized,0,2011
33,parasitized,88,2011
34,unparasitized,0,2011
35,parasitized,650,2011
36,unparasitized,8,2011
37,parasitized,72,2011
38,unparasitized,0,2011
39,parasitized,177,2011
40,unparasitized,0,2011
41,parasitized,96,2011
42,unparasitized,0,2011
43,parasitized,136,2011
44,unparasitized,0,2011
45,parasitized,16,2011
46,unparasitized,0,2011
47,parasitized,8,2011
48,unparasitized,0,2011
49,parasitized,40,2011
50,unparasitized,16,2011
51,parasitized,16,2011
52,unparasitized,0,2011
53,parasitized,8,2011
54,unparasitized,0,2011
55,parasitized,56,2011
56,unparasitized,0,2011
57,parasitized,0,2011
58,unparasitized,0,2011
59,parasitized,8,2011
60,unparasitized,0,2011
61,parasitized,859,2011
62,unparasitized,0,2011
63,parasitized,104,2011
64,unparasitized,0,2011
65,parasitized,40,2011
66,unparasitized,8,2011
67,parasitized,96,2011
68,unparasitized,0,2011
69,parasitized,153,2011
70,unparasitized,16,2011
71,parasitized,120,2011
72,unparasitized,16,2011
73,parasitized,433,2011
74,unparasitized,0,2011
75,parasitized,353,2011
76,unparasitized,0,2011
77,parasitized,201,2011
78,unparasitized,8,2011
79,parasitized,120,2011
80,unparasitized,0,2011
81,parasitized,177,2011
82,unparasitized,24,2011
83,parasitized,201,2011
84,unparasitized,24,2011
85,parasitized,0,2011
86,unparasitized,56,2011
87,parasitized,899,2011
88,unparasitized,0,2011
89,parasitized,32,2011
90,unparasitized,0,2011
91,parasitized,104,2011
92,unparasitized,0,2011
93,parasitized,16,2011
94,unparasitized,0,2011
95,parasitized,0,2011
96,unparasitized,0,2011
97,parasitized,32,2011
98,unparasitized,0,2011
99,parasitized,24,2011
100,unparasitized,0,2011
101,parasitized,24,2011
102,unparasitized,0,2011
103,parasitized,177,2011
104,unparasitized,0,2011
105,parasitized,8,2011
106,unparasitized,32,2011
107,parasitized,32,2011
108,unparasitized,0,2011
109,parasitized,0,2011
110,unparasitized,0,2011
111,parasitized,530,2012
112,unparasitized,0,2012
113,parasitized,48,2012
114,unparasitized,0,2012
115,parasitized,265,2012
116,unparasitized,72,2012
117,parasitized,337,2012
118,unparasitized,0,2012
119,parasitized,225,2012
120,unparasitized,8,2012
121,parasitized,931,2012
122,unparasitized,0,2012
123,parasitized,1268,2012
124,unparasitized,0,2012
125,parasitized,289,2012
126,unparasitized,0,2012
127,parasitized,185,2012
128,unparasitized,0,2012
129,parasitized,249,2012
130,unparasitized,16,2012
131,parasitized,409,2012
132,unparasitized,0,2012
133,parasitized,233,2012
134,unparasitized,0,2012
135,parasitized,2264,2012
136,unparasitized,153,2012
137,parasitized,289,2012
138,unparasitized,0,2012
139,parasitized,385,2012
140,unparasitized,209,2012
141,parasitized,112,2012
142,unparasitized,16,2012
143,parasitized,522,2012
144,unparasitized,0,2012
145,parasitized,185,2012
146,unparasitized,8,2012
147,parasitized,96,2012
148,unparasitized,32,2012
149,parasitized,305,2012
150,unparasitized,0,2012
151,parasitized,273,2012
152,unparasitized,8,2012
153,parasitized,594,2012
154,unparasitized,112,2012
155,parasitized,104,2012
156,unparasitized,16,2012
157,parasitized,249,2012
158,unparasitized,32,2012
159,parasitized,1373,2012
160,unparasitized,0,2012
161,parasitized,329,2012
162,unparasitized,0,2012
163,parasitized,0,2012
164,unparasitized,40,2012
165,parasitized,72,2012
166,unparasitized,8,2012
167,parasitized,96,2012
168,unparasitized,24,2012
169,parasitized,153,2012
170,unparasitized,0,2012
171,parasitized,1975,2012
172,unparasitized,0,2012
173,parasitized,554,2012
174,unparasitized,0,2012
175,parasitized,554,2012
176,unparasitized,8,2012
177,parasitized,562,2012
178,unparasitized,8,2012
179,parasitized,1140,2012
180,unparasitized,128,2012
181,parasitized,482,2012
182,unparasitized,40,2012
183,parasitized,586,2012
184,unparasitized,40,2012
185,parasitized,698,2012
186,unparasitized,32,2012
187,parasitized,0,2012
188,unparasitized,0,2012
189,parasitized,217,2012
190,unparasitized,24,2012
191,parasitized,80,2012
192,unparasitized,16,2012
193,parasitized,48,2012
194,unparasitized,0,2012
195,parasitized,144,2012
196,unparasitized,0,2012
197,parasitized,522,2012
198,unparasitized,0,2012
199,parasitized,265,2012
200,unparasitized,0,2012
201,parasitized,177,2012
202,unparasitized,8,2012
203,parasitized,72,2012
204,unparasitized,0,2012
205,parasitized,562,2012
206,unparasitized,0,2012
207,parasitized,24,2012
208,unparasitized,24,2012
209,parasitized,16,2012
210,unparasitized,8,2012
211,parasitized,88,2012
212,unparasitized,24,2012
213,parasitized,297,2012
214,unparasitized,24,2012
215,parasitized,104,2012
216,unparasitized,16,2012
217,parasitized,241,2012
218,unparasitized,8,2012
219,parasitized,112,2012
220,unparasitized,16,2012